Racquet,length,static.weight,balance,swingweight,headsize,beamwidth,Cluster
Asics109,27.25,10.4,0.375,321,109,25,1
Asics116,27.25,9.6,0,287,116,25,1
Asics125,27.5,9.6,0,303,125,28,1
BabolatPureDrive,27,11.1,0.5,308,100,26,2
BabolatPureDriveLite,27,10.3,0.375,298,100,25,3
BabolatPureDrive107,27.2,10.4,0.25,298,107,25,1
DonnayProOne,27,11.5,0.625,318,97,21,4
DunlopBiomimetic700,27.25,9.7,-0.375,302,110,28,1
GammaRZR98,27,11,0.5,310,98,22,4
GammaRZR98T,27,11.9,0.875,328,98,22,4
HeadPrestigeMid,27,12.2,1,317,93,19,4
HeadPrestigeMidplus,27,11.9,1,310,98,21,4
HeadPrestigePro,27,12,0.75,321,98,21,4
HeadPrestigeS,27,11.3,0.5,315,98,22,4
HeadRadicalMidplus,27,11,0.333,320,98,21.5,4
HeadRadicalOversize,27,11,0.5,315,107,21.5,4
HeadRadicalPro,27,11.5,0.5,330,98,21.5,4
HeadRadicalS,27,10.4,0.5,290,100,23.5,3
PrinceRebel95,27,12,0.875,330,95,20,4
PrinceRebel98,27,11.1,0.5,322,98,21,4
PrinceWarrior100,27,11.1,0.5,320,100,26,2
SolincoTour8,27,10.58,1,280,98,21,3
VolklOrganixV1Midplus,27,10.5,0.25,303,102,28,2
VolklOrganixV1Oversize,27.6,10.5,0.375,308,110,29,1
WilsonJuice100,27,11.3,0.5,315,100,26.5,2
WilsonJuice108,27.25,10.4,0,312,108,26,1
WilsonProStaffSix.One100,27.25,10.6,0.375,297,100,22,3
WilsonSteam100,27.25,11,0.625,311,100,23,3
YonexEZone98,27,11.5,0.75,321,98,24,4
YonexEZone100,27,11,0.375,312,100,27,2
YonexEZone107,27,10.5,0.125,307,107,29,2
